Type,Paper Number,PC Decision,Pages,Title,File Name,Generated,Citations,Auth1 First Name,Auth1 Last Name,Auth2 First Name,Auth2 Last Name,Auth3 First Name,Auth3 Last Name,Auth4 First Name,Auth4 Last Name,,
Type,-2,O,,,,,,First Name,Last Name,First Name,Last Name,First Name,Last Name, F.Name, L.Name,,
Day,0,,,"Day 1: September 18, 2007",,,,,,,,,,,,,
Session,0,,,Oral Session 1,,,,,,,,,,,,,
paper,45,O,6,Templates for One Author,p_001,LaTeX,"Serra:1996:sms,Moorer:2000:AES:audio:millenium,Arfib:1998:DAFx,Mitra:Kaiser:1993:DSP:handbook",Alfred,Alabama,,,,,,,,
paper,21,O,5,Templates for One Author with Two Affiliations,p_003,LaTeX,"Serra:1996:sms,Moorer:2000:AES:audio:millenium,Arfib:1998:DAFx,Haykin:1991:adaptive:filter",Bob,Boogie-Woogie,,,,,,,,
Poster Session,0,,,Poster Session 1,,,,,,,,,,,,,
paper,33,P,4,Templates for Two Authors,p_005,LaTeX,"Serra:1996:sms,Moorer:2000:AES:audio:millenium,Arfib:1998:DAFx,Askenfelt:1976:automatic:transcription",Alfred,Alabama,Chris,Christmas,,,,,,
Day,0,,,"Day 2: September 19, 2007",,,,,,,,,,,,,
Session,0,,,Oral Session 2,,,,,,,,,,,,,
paper,75,O,6,Templates for Three Authors,p_007,LaTeX,"Serra:1996:sms,Moorer:2000:AES:audio:millenium,Arfib:1998:DAFx,Egozy:1995:MIT:features:gesture",Bob,Boogie-Woogie,Chris,Christmas,Don,Didon,,,,
paper,27,O,7,Templates fór Fòür Àuthors,p_009,LaTeX,"Serra:1996:sms,Moorer:2000:AES:audio:millenium,Dutilleux:1991,Fitz:Haken:2003:Web:morphing:loris",John,Jöe,Kéñt,Kîng,Lòu,Lóu,Mànfréd J.,Môst\u{e}k\i,,
