0401;Yo;CYRILLIC CAPITAL LETTER IO
0402;Dj;CYRILLIC CAPITAL LETTER DJE
0404;Ye;CYRILLIC CAPITAL LETTER UKRAINIAN IE
0405;Zelo;CYRILLIC CAPITAL LETTER DZE
0406;Iroman;CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0408;J;CYRILLIC CAPITAL LETTER JE
0409;Lj;CYRILLIC CAPITAL LETTER LJE
040A;Nj;CYRILLIC CAPITAL LETTER NJE
040B;Tsoft;CYRILLIC CAPITAL LETTER TSHE
040F;Dzh;CYRILLIC CAPITAL LETTER DZHE
0410;A;CYRILLIC CAPITAL LETTER A
0411;B;CYRILLIC CAPITAL LETTER BE
0412;V;CYRILLIC CAPITAL LETTER VE
0413;G;CYRILLIC CAPITAL LETTER GHE
0414;D;CYRILLIC CAPITAL LETTER DE
0415;E;CYRILLIC CAPITAL LETTER IE
0416;Zhe;CYRILLIC CAPITAL LETTER ZHE
0417;Z;CYRILLIC CAPITAL LETTER ZE
0418;I;CYRILLIC CAPITAL LETTER I
0419;Ishort;CYRILLIC CAPITAL LETTER SHORT I
041A;K;CYRILLIC CAPITAL LETTER KA
041B;L;CYRILLIC CAPITAL LETTER EL
041C;M;CYRILLIC CAPITAL LETTER EM
041D;N;CYRILLIC CAPITAL LETTER EN
041E;O;CYRILLIC CAPITAL LETTER O
041F;P;CYRILLIC CAPITAL LETTER PE
0420;R;CYRILLIC CAPITAL LETTER ER
0421;S;CYRILLIC CAPITAL LETTER ES
0422;T;CYRILLIC CAPITAL LETTER TE
0423;U;CYRILLIC CAPITAL LETTER U
0424;F;CYRILLIC CAPITAL LETTER EF
0425;H;CYRILLIC CAPITAL LETTER HA
0426;C;CYRILLIC CAPITAL LETTER TSE
0427;Q;CYRILLIC CAPITAL LETTER CHE
0428;X;CYRILLIC CAPITAL LETTER SHA
0429;W;CYRILLIC CAPITAL LETTER SHCHA
042A;Hard;CYRILLIC CAPITAL LETTER HARD SIGN
042B;Y;CYRILLIC CAPITAL LETTER YERU
042C;Soft;CYRILLIC CAPITAL LETTER SOFT SIGN
042D;Ze;CYRILLIC CAPITAL LETTER E
042E;Yu;CYRILLIC CAPITAL LETTER YU
042F;Ya;CYRILLIC CAPITAL LETTER YA
0430;a;CYRILLIC SMALL LETTER A
0431;b;CYRILLIC SMALL LETTER BE
0432;v;CYRILLIC SMALL LETTER VE
0433;g;CYRILLIC SMALL LETTER GHE
0434;d;CYRILLIC SMALL LETTER DE
0435;e;CYRILLIC SMALL LETTER IE
0436;zhe;CYRILLIC SMALL LETTER ZHE
0437;z;CYRILLIC SMALL LETTER ZE
0438;i;CYRILLIC SMALL LETTER I
0439;ishort;CYRILLIC SMALL LETTER SHORT I
043A;k;CYRILLIC SMALL LETTER KA
043B;l;CYRILLIC SMALL LETTER EL
043C;m;CYRILLIC SMALL LETTER EM
043D;n;CYRILLIC SMALL LETTER EN
043E;o;CYRILLIC SMALL LETTER O
043F;p;CYRILLIC SMALL LETTER PE
0440;r;CYRILLIC SMALL LETTER ER
0441;s;CYRILLIC SMALL LETTER ES
0442;t;CYRILLIC SMALL LETTER TE
0443;u;CYRILLIC SMALL LETTER U
0444;f;CYRILLIC SMALL LETTER EF
0445;h;CYRILLIC SMALL LETTER HA
0446;c;CYRILLIC SMALL LETTER TSE
0447;q;CYRILLIC SMALL LETTER CHE
0448;x;CYRILLIC SMALL LETTER SHA
0449;w;CYRILLIC SMALL LETTER SHCHA
044A;hard;CYRILLIC SMALL LETTER HARD SIGN
044B;y;CYRILLIC SMALL LETTER YERU
044C;soft;CYRILLIC SMALL LETTER SOFT SIGN
044D;ze;CYRILLIC SMALL LETTER E
044E;yu;CYRILLIC SMALL LETTER YU
044F;ya;CYRILLIC SMALL LETTER YA
0451;yo;CYRILLIC SMALL LETTER IO
0452;dj;CYRILLIC SMALL LETTER DJE
0454;ye;CYRILLIC SMALL LETTER UKRAINIAN IE
0455;zelo;CYRILLIC SMALL LETTER DZE
0456;iroman;CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0458;j;CYRILLIC SMALL LETTER JE
0459;lj;CYRILLIC SMALL LETTER LJE
045A;nj;CYRILLIC SMALL LETTER NJE
045B;tsoft;CYRILLIC SMALL LETTER TSHE
045F;dzh;CYRILLIC SMALL LETTER DZHE
0462;Yatz;CYRILLIC CAPITAL LETTER YAT
0463;yatz;CYRILLIC SMALL LETTER YAT
0472;Fita;CYRILLIC CAPITAL LETTER FITA
0473;fita;CYRILLIC SMALL LETTER FITA
0474;Izhitsa;CYRILLIC CAPITAL LETTER IZHITSA
0475;izhitsa;CYRILLIC SMALL LETTER IZHITSA
2116;number;NUMERO SIGN
F6D4;breve1;CYRILLIC BREVE
