0401;dieresis;CYRILLIC CAPITAL LETTER IO
0410;Agrave;CYRILLIC CAPITAL LETTER A
0411;Aacute;CYRILLIC CAPITAL LETTER BE
0412;Acircumflex;CYRILLIC CAPITAL LETTER VE
0413;Atilde;CYRILLIC CAPITAL LETTER GHE
0414;Adieresis;CYRILLIC CAPITAL LETTER DE
0415;Aring;CYRILLIC CAPITAL LETTER IE
0416;AE;CYRILLIC CAPITAL LETTER ZHE
0417;Ccedilla;CYRILLIC CAPITAL LETTER ZE
0418;Egrave;CYRILLIC CAPITAL LETTER I
0419;Eacute;CYRILLIC CAPITAL LETTER SHORT I
041A;Ecircumflex;CYRILLIC CAPITAL LETTER KA
041B;Edieresis;CYRILLIC CAPITAL LETTER EL
041C;Igrave;CYRILLIC CAPITAL LETTER EM
041D;Iacute;CYRILLIC CAPITAL LETTER EN
041E;Icircumflex;CYRILLIC CAPITAL LETTER O
041F;Idieresis;CYRILLIC CAPITAL LETTER PE
0420;Eth;CYRILLIC CAPITAL LETTER ER
0421;Ntilde;CYRILLIC CAPITAL LETTER ES
0422;Ograve;CYRILLIC CAPITAL LETTER TE
0423;Oacute;CYRILLIC CAPITAL LETTER U
0424;Ocircumflex;CYRILLIC CAPITAL LETTER EF
0425;Otilde;CYRILLIC CAPITAL LETTER HA
0426;Odieresis;CYRILLIC CAPITAL LETTER TSE
0427;multiply;CYRILLIC CAPITAL LETTER CHE
0428;Oslash;CYRILLIC CAPITAL LETTER SHA
0429;Ugrave;CYRILLIC CAPITAL LETTER SHCHA
042A;Uacute;CYRILLIC CAPITAL LETTER HARD SIGN
042B;Ucircumflex;CYRILLIC CAPITAL LETTER YERU
042C;Udieresis;CYRILLIC CAPITAL LETTER SOFT SIGN
042D;Yacute;CYRILLIC CAPITAL LETTER E
042E;Thorn;CYRILLIC CAPITAL LETTER YU
042F;germandbls;CYRILLIC CAPITAL LETTER YA
0430;agrave;CYRILLIC SMALL LETTER A
0431;aacute;CYRILLIC SMALL LETTER BE
0432;acircumflex;CYRILLIC SMALL LETTER VE
0433;atilde;CYRILLIC SMALL LETTER GHE
0434;adieresis;CYRILLIC SMALL LETTER DE
0435;aring;CYRILLIC SMALL LETTER IE
0436;ae;CYRILLIC SMALL LETTER ZHE
0437;ccedilla;CYRILLIC SMALL LETTER ZE
0438;egrave;CYRILLIC SMALL LETTER I
0439;eacute;CYRILLIC SMALL LETTER SHORT I
043A;ecircumflex;CYRILLIC SMALL LETTER KA
043B;edieresis;CYRILLIC SMALL LETTER EL
043C;igrave;CYRILLIC SMALL LETTER EM
043D;iacute;CYRILLIC SMALL LETTER EN
043E;icircumflex;CYRILLIC SMALL LETTER O
043F;idieresis;CYRILLIC SMALL LETTER PE
0440;eth;CYRILLIC SMALL LETTER ER
0441;ntilde;CYRILLIC SMALL LETTER ES
0442;ograve;CYRILLIC SMALL LETTER TE
0443;oacute;CYRILLIC SMALL LETTER U
0444;ocircumflex;CYRILLIC SMALL LETTER EF
0445;otilde;CYRILLIC SMALL LETTER HA
0446;odieresis;CYRILLIC SMALL LETTER TSE
0447;divide;CYRILLIC SMALL LETTER CHE
0448;oslash;CYRILLIC SMALL LETTER SHA
0449;ugrave;CYRILLIC SMALL LETTER SHCHA
044A;uacute;CYRILLIC SMALL LETTER HARD SIGN
044B;ucircumflex;CYRILLIC SMALL LETTER YERU
044C;udieresis;CYRILLIC SMALL LETTER SOFT SIGN
044D;yacute;CYRILLIC SMALL LETTER E
044E;thorn;CYRILLIC SMALL LETTER YU
044F;ydieresis;CYRILLIC SMALL LETTER YA
0451;cedilla;CYRILLIC SMALL LETTER IO
2116;onesuperior;NUMERO SIGN
