0401;threesuperior;CYRILLIC CAPITAL LETTER IO
0410;aacute;CYRILLIC CAPITAL LETTER A
0411;acircumflex;CYRILLIC CAPITAL LETTER BE
0412;divide;CYRILLIC CAPITAL LETTER VE
0413;ccedilla;CYRILLIC CAPITAL LETTER GHE
0414;adieresis;CYRILLIC CAPITAL LETTER DE
0415;aring;CYRILLIC CAPITAL LETTER IE
0416;odieresis;CYRILLIC CAPITAL LETTER ZHE
0417;uacute;CYRILLIC CAPITAL LETTER ZE
0418;eacute;CYRILLIC CAPITAL LETTER I
0419;ecircumflex;CYRILLIC CAPITAL LETTER SHORT I
041A;edieresis;CYRILLIC CAPITAL LETTER KA
041B;igrave;CYRILLIC CAPITAL LETTER EL
041C;iacute;CYRILLIC CAPITAL LETTER EM
041D;icircumflex;CYRILLIC CAPITAL LETTER EN
041E;idieresis;CYRILLIC CAPITAL LETTER O
041F;eth;CYRILLIC CAPITAL LETTER PE
0420;ograve;CYRILLIC CAPITAL LETTER ER
0421;oacute;CYRILLIC CAPITAL LETTER ES
0422;ocircumflex;CYRILLIC CAPITAL LETTER TE
0423;otilde;CYRILLIC CAPITAL LETTER U
0424;ae;CYRILLIC CAPITAL LETTER EF
0425;egrave;CYRILLIC CAPITAL LETTER HA
0426;atilde;CYRILLIC CAPITAL LETTER TSE
0427;thorn;CYRILLIC CAPITAL LETTER CHE
0428;ucircumflex;CYRILLIC CAPITAL LETTER SHA
0429;yacute;CYRILLIC CAPITAL LETTER SHCHA
042A;ydieresis;CYRILLIC CAPITAL LETTER HARD SIGN
042B;ugrave;CYRILLIC CAPITAL LETTER YERU
042C;oslash;CYRILLIC CAPITAL LETTER SOFT SIGN
042D;udieresis;CYRILLIC CAPITAL LETTER E
042E;agrave;CYRILLIC CAPITAL LETTER YU
042F;ntilde;CYRILLIC CAPITAL LETTER YA
0430;Aacute;CYRILLIC SMALL LETTER A
0431;Acircumflex;CYRILLIC SMALL LETTER BE
0432;multiply;CYRILLIC SMALL LETTER VE
0433;Ccedilla;CYRILLIC SMALL LETTER GHE
0434;Adieresis;CYRILLIC SMALL LETTER DE
0435;Aring;CYRILLIC SMALL LETTER IE
0436;Odieresis;CYRILLIC SMALL LETTER ZHE
0437;Uacute;CYRILLIC SMALL LETTER ZE
0438;Eacute;CYRILLIC SMALL LETTER I
0439;Ecircumflex;CYRILLIC SMALL LETTER SHORT I
043A;Edieresis;CYRILLIC SMALL LETTER KA
043B;Igrave;CYRILLIC SMALL LETTER EL
043C;Iacute;CYRILLIC SMALL LETTER EM
043D;Icircumflex;CYRILLIC SMALL LETTER EN
043E;Idieresis;CYRILLIC SMALL LETTER O
043F;Eth;CYRILLIC SMALL LETTER PE
0440;Ograve;CYRILLIC SMALL LETTER ER
0441;Oacute;CYRILLIC SMALL LETTER ES
0442;Ocircumflex;CYRILLIC SMALL LETTER TE
0443;Otilde;CYRILLIC SMALL LETTER U
0444;AE;CYRILLIC SMALL LETTER EF
0445;Egrave;CYRILLIC SMALL LETTER HA
0446;Atilde;CYRILLIC SMALL LETTER TSE
0447;Thorn;CYRILLIC SMALL LETTER CHE
0448;Ucircumflex;CYRILLIC SMALL LETTER SHA
0449;Yacute;CYRILLIC SMALL LETTER SHCHA
044A;germandbls;CYRILLIC SMALL LETTER HARD SIGN
044B;Ugrave;CYRILLIC SMALL LETTER YERU
044C;Oslash;CYRILLIC SMALL LETTER SOFT SIGN
044D;Udieresis;CYRILLIC SMALL LETTER E
044E;Agrave;CYRILLIC SMALL LETTER YU
044F;Ntilde;CYRILLIC SMALL LETTER YA
0451;sterling;CYRILLIC SMALL LETTER IO
