0020;space;SPACE
0021;exclam;EXCLAMATION MARK
0022;quotedbl;QUOTATION MARK
0023;numbersign;NUMBER SIGN
0025;percent;PERCENT SIGN
0026;ampersand;AMPERSAND
0027;quotesingle;APOSTROPHE
0028;parenleft;LEFT PARENTHESIS
0029;parenright;RIGHT PARENTHESIS
002A;asterisk;ASTERISK
002B;plus;PLUS SIGN
002C;comma;COMMA
002D;hyphen;HYPHEN-MINUS
002E;period;FULL STOP
002F;slash;SOLIDUS
0030;zero;DIGIT ZERO
0031;one;DIGIT ONE
0032;two;DIGIT TWO
0033;three;DIGIT THREE
0034;four;DIGIT FOUR
0035;five;DIGIT FIVE
0036;six;DIGIT SIX
0037;seven;DIGIT SEVEN
0038;eight;DIGIT EIGHT
0039;nine;DIGIT NINE
003A;colon;COLON
003B;semicolon;SEMICOLON
003D;equal;EQUALS SIGN
003F;question;QUESTION MARK
005C;backslash;REVERSE SOLIDUS
005F;underscore;LOW LINE
007C;vertical;VERTICAL LINE
00A4;currency;CURRENCY SIGN
00A7;section;SECTION SIGN
00A8;dieresis;DIAERESIS
00AB;guillemotleft;LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00B0;degree;DEGREE SIGN
00B4;acute;ACUTE ACCENT
00B7;periodcentered;MIDDLE DOT
00BB;guillemotright;RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0131;dotlessi;LATIN SMALL LETTER DOTLESS I
0401;Jehstdieresis;CYRILLIC CAPITAL LETTER IO
0402;Djsche;CYRILLIC CAPITAL LETTER DJE
0403;Glagolmac;CYRILLIC CAPITAL LETTER GJE
0404;Ye;CYRILLIC CAPITAL LETTER UKRAINIAN IE
0405;Zelo;CYRILLIC CAPITAL LETTER DZE
0406;I;CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0407;Idieresis;CYRILLIC CAPITAL LETTER YI
0408;Je;CYRILLIC CAPITAL LETTER JE
0409;Elj;CYRILLIC CAPITAL LETTER LJE
040A;Nj;CYRILLIC CAPITAL LETTER NJE
040B;Tjsche;CYRILLIC CAPITAL LETTER TSHE
040C;Kakoacute;CYRILLIC CAPITAL LETTER KJE
040E;Ubreve;CYRILLIC CAPITAL LETTER SHORT U
040F;Dsche;CYRILLIC CAPITAL LETTER DZHE
0410;As;CYRILLIC CAPITAL LETTER A
0411;Buki;CYRILLIC CAPITAL LETTER BE
0412;Wjedi;CYRILLIC CAPITAL LETTER VE
0413;Glagol;CYRILLIC CAPITAL LETTER GHE
0414;Dobro;CYRILLIC CAPITAL LETTER DE
0415;Jehst;CYRILLIC CAPITAL LETTER IE
0416;Schiwete;CYRILLIC CAPITAL LETTER ZHE
0417;Semlja;CYRILLIC CAPITAL LETTER ZE
0418;Ische;CYRILLIC CAPITAL LETTER I
0419;Ischedipthong;CYRILLIC CAPITAL LETTER SHORT I
041A;Kako;CYRILLIC CAPITAL LETTER KA
