0401;cyrYEdieresis;CYRILLIC CAPITAL LETTER IO
0402;cyrTY;CYRILLIC CAPITAL LETTER DJE
0403;cyrGacute;CYRILLIC CAPITAL LETTER GJE
0404;cyrsovYE;CYRILLIC CAPITAL LETTER UKRAINIAN IE
0405;cyrDZ;CYRILLIC CAPITAL LETTER DZE
0406;cyrsovI;CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0407;cyrsovIdieresis;CYRILLIC CAPITAL LETTER YI
0408;cyrJ;CYRILLIC CAPITAL LETTER JE
0409;cyrLY;CYRILLIC CAPITAL LETTER LJE
040A;cyrNY;CYRILLIC CAPITAL LETTER NJE
040B;cyrDY;CYRILLIC CAPITAL LETTER TSHE
040C;cyrKacute;CYRILLIC CAPITAL LETTER KJE
040E;cyrUbreve;CYRILLIC CAPITAL LETTER SHORT U
040F;cyrDZH;CYRILLIC CAPITAL LETTER DZHE
0410;cyrA;CYRILLIC CAPITAL LETTER A
0411;cyrB;CYRILLIC CAPITAL LETTER BE
0412;cyrV;CYRILLIC CAPITAL LETTER VE
0413;cyrG;CYRILLIC CAPITAL LETTER GHE
0414;cyrD;CYRILLIC CAPITAL LETTER DE
0415;cyrYE;CYRILLIC CAPITAL LETTER IE
0416;cyrZH;CYRILLIC CAPITAL LETTER ZHE
0417;cyrZ;CYRILLIC CAPITAL LETTER ZE
0418;cyrI;CYRILLIC CAPITAL LETTER I
0419;cyrIbreve;CYRILLIC CAPITAL LETTER SHORT I
041A;cyrK;CYRILLIC CAPITAL LETTER KA
041B;cyrL;CYRILLIC CAPITAL LETTER EL
041C;cyrM;CYRILLIC CAPITAL LETTER EM
041D;cyrN;CYRILLIC CAPITAL LETTER EN
041E;cyrO;CYRILLIC CAPITAL LETTER O
041F;cyrP;CYRILLIC CAPITAL LETTER PE
0420;cyrR;CYRILLIC CAPITAL LETTER ER
0421;cyrS;CYRILLIC CAPITAL LETTER ES
0422;cyrT;CYRILLIC CAPITAL LETTER TE
0423;cyrU;CYRILLIC CAPITAL LETTER U
0424;cyrF;CYRILLIC CAPITAL LETTER EF
0425;cyrKH;CYRILLIC CAPITAL LETTER HA
0426;cyrTS;CYRILLIC CAPITAL LETTER TSE
0427;cyrCH;CYRILLIC CAPITAL LETTER CHE
0428;cyrSH;CYRILLIC CAPITAL LETTER SHA
0429;cyrSHCH;CYRILLIC CAPITAL LETTER SHCHA
042A;cyrHARDsign;CYRILLIC CAPITAL LETTER HARD SIGN
042B;cyrYERU;CYRILLIC CAPITAL LETTER YERU
042C;cyrSOFTsign;CYRILLIC CAPITAL LETTER SOFT SIGN
042D;cyrE;CYRILLIC CAPITAL LETTER E
042E;cyrYU;CYRILLIC CAPITAL LETTER YU
042F;cyrYA;CYRILLIC CAPITAL LETTER YA
0430;cyra;CYRILLIC SMALL LETTER A
0431;cyrb;CYRILLIC SMALL LETTER BE
0432;cyrv;CYRILLIC SMALL LETTER VE
0433;cyrg;CYRILLIC SMALL LETTER GHE
0434;cyrd;CYRILLIC SMALL LETTER DE
0435;cyrye;CYRILLIC SMALL LETTER IE
0436;cyrzh;CYRILLIC SMALL LETTER ZHE
0437;cyrz;CYRILLIC SMALL LETTER ZE
0438;cyri;CYRILLIC SMALL LETTER I
0439;cyribreve;CYRILLIC SMALL LETTER SHORT I
043A;cyrk;CYRILLIC SMALL LETTER KA
043B;cyrl;CYRILLIC SMALL LETTER EL
043C;cyrm;CYRILLIC SMALL LETTER EM
043D;cyrn;CYRILLIC SMALL LETTER EN
043E;cyro;CYRILLIC SMALL LETTER O
043F;cyrp;CYRILLIC SMALL LETTER PE
0440;cyrr;CYRILLIC SMALL LETTER ER
0441;cyrs;CYRILLIC SMALL LETTER ES
0442;cyrt;CYRILLIC SMALL LETTER TE
0443;cyru;CYRILLIC SMALL LETTER U
0444;cyrf;CYRILLIC SMALL LETTER EF
0445;cyrkh;CYRILLIC SMALL LETTER HA
0446;cyrts;CYRILLIC SMALL LETTER TSE
0447;cyrch;CYRILLIC SMALL LETTER CHE
0448;cyrsh;CYRILLIC SMALL LETTER SHA
0449;cyrshch;CYRILLIC SMALL LETTER SHCHA
044A;cyrhardsign;CYRILLIC SMALL LETTER HARD SIGN
044B;cyryeru;CYRILLIC SMALL LETTER YERU
044C;cyrsoftsign;CYRILLIC SMALL LETTER SOFT SIGN
044D;cyre;CYRILLIC SMALL LETTER E
044E;cyryu;CYRILLIC SMALL LETTER YU
044F;cyrya;CYRILLIC SMALL LETTER YA
0451;cyryedieresis;CYRILLIC SMALL LETTER IO
0452;cyrty;CYRILLIC SMALL LETTER DJE
0453;cyrgacute;CYRILLIC SMALL LETTER GJE
0454;cyrsovye;CYRILLIC SMALL LETTER UKRAINIAN IE
0455;cyrdz;CYRILLIC SMALL LETTER DZE
0456;cyrsovi;CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0457;cyrsovidieresis;CYRILLIC SMALL LETTER YI
0458;cyrj;CYRILLIC SMALL LETTER JE
0459;cyrly;CYRILLIC SMALL LETTER LJE
045A;cyrny;CYRILLIC SMALL LETTER NJE
045B;cyrdy;CYRILLIC SMALL LETTER TSHE
045C;cyrkacute;CYRILLIC SMALL LETTER KJE
045E;cyrubreve;CYRILLIC SMALL LETTER SHORT U
045F;cyrdzh;CYRILLIC SMALL LETTER DZHE
0490;cyrsovG;CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0491;cyrsovg;CYRILLIC SMALL LETTER GHE WITH UPTURN
2116;numero;NUMERO SIGN
